"pppoe_username","isolation_date"
"RAGIL@KEPUH","2026-07-12"
"FINA@TONJONG","2026-07-16"
"SANI@KASUBAN","2026-07-18"
"ANDIKA@HARMONI2","2026-07-10"
"GILANG@SAWAHLUHUR","2026-07-11"
"ROMLAH@KALIPANGPANG","2026-07-26"
"CUT@TEGALDUREN","2026-07-25"
"YUDHA@JAMBLANG","2026-07-24"
"APRIYANTI@CIBELUT","2026-07-17"
"DINDA@CIBELUT","2026-07-18"
"ALAMSYAH@BTM","2026-07-14"
"YUYUN@JENGGOT","2026-07-24"
"VERI@DELTAALI","2026-07-16"
"PERTIWI@KESATRIAN","2026-07-25"
"RUBEN@TONJONG","2026-07-25"
"LAILI@PAMENGKANG","2026-07-26"
"DENNY@ANGSANA2","2026-07-18"
"SUJATMIKO@SQUATER","2026-07-16"
"MARIA@CIBELUT","2026-07-26"
"DWI@CIPUTRI","2026-07-08"
"WINARNO@KASUBAN","2026-07-15"
"SUANDI@PIKDELTA","2026-07-27"
"BUDIMAN@ans.net","2026-07-26"
"APRIYANI@Pai2","2026-07-08"
"PURNAMASARI@KARANGANYAR","2026-07-22"
"NANA@HARMONI2","2026-07-08"
"OPAN@KARANGANYAR","2026-07-27"
"PANJAITAN@TERATE","2026-07-19"
"RATRI@ANGSANA","2026-07-12"
"HENDRA@KEPUH","2026-07-20"
"AJIE@KALIPANGPANG","2026-07-15"
"NARDI@TONJONG","2026-07-08"
"LUSI@TEGALTANJUNG","2026-07-18"
"DARMA@DELTAALI","2026-07-15"
"PRADANA@JENGGOT","2026-07-08"
"PRATOMO@ANGSANA1","2026-07-08"
"NILA@CABLAS","2026-07-23"
"ARIO@PIK","2026-07-09"
"DENDI@PERMATA","2026-07-13"
"PURWANTI@KARANGANYAR","2026-07-08"
"SANIA@CENGKOK","2026-07-24"
"JOHAN@LAMONGAN","2026-07-22"
"RIYAN@DELTAALI","2026-07-26"
"SAPUTRI@PIK","2026-07-09"
"DINA@SUKAMANDI","2026-07-25"
"CHRISTINA@LAMONGAN","2026-07-14"
"NADIN@PURIDELTA","2026-07-25"
"CAROLINA@SINDANGJAYA","2026-07-18"
"ALI@JENGGOT","2026-07-23"
"KAMAL@CENGKOK","2026-07-28"
"SAFITRI@PEGADINGAN","2026-07-25"
"SUSI@KESATRIAN","2026-07-19"
"FARIDA@LENGKONG","2026-07-18"
"EDY@PURIDELTA","2026-07-19"
"RATIH@KARANGANYAR","2026-07-26"
"DICKY@SAWAHLUHUR","2026-07-23"
"MEI1@KEPUH","2026-07-21"
"SAYUTI@KEBAROSAN","2026-07-08"
"ABDUL@JENGGOT","2026-07-18"
"RANI@ANGSANA2","2026-07-17"
"CECEP@JAMBLANG","2026-07-10"
"TINI@LAMONGAN","2026-07-10"
"UMAR@ans.net","2026-07-09"
"KURNIAWATI@SINDANGJAYA","2026-07-11"
"SHANDY@LAMONGAN","2026-07-10"
"SISKA@KASUBAN","2026-07-23"
"ENY@TONJONG","2026-07-19"
"VERONICA@PERMATA","2026-07-16"
"MARGARETHA@ANGSANA","2026-07-11"
"ZULFIKAR@CENGKOK","2026-07-24"
"SIRAIT@CIKEDUNG","2026-07-11"
"ACHMAD@CIBELUT","2026-07-22"
"DEASY1@ANGSANA","2026-07-27"
"ANDRIYANI@JENGGOT","2026-07-22"
